PARTITION_DATE,AGENT_ID,HOST,BLOCKED,DEAD,IDLE,PAGING,RUNNING,SLEEPING,STOPPED,TOTAL,TOTAL_THREADS,UNKNOWN,ZOMBIES
20181102144750,docker_host_03,iris-s02,,,,,,302.0,,302.0,484.0,,
20181102144750,demo_data_04,gcs5,,,,,,317.0,,317.0,816.0,,
20181102144750,demo_data_05,gcs6,,,,,1.0,299.0,,300.0,673.0,,
20181102144810,gaia-master_001,add-m01,,,,,,310.0,,315.0,3592.0,,5.0
20181102144450,fsec02_008,fsec02,,,,,,241.0,,241.0,553.0,,
20181102144820,gaia-slave2_003,gaia-slave2,,,,,,202.0,,209.0,1910.0,,7.0
20181102144010,nv-acc-03_017,nv-acc-03,,,,,,292.0,,292.0,494.0,,
20181102144640,fsec03_012,fsec03,,,,,,233.0,,233.0,515.0,,
20181102144840,gaia-slave1_002,gaia-slave1,,,,,,283.0,,291.0,2059.0,,8.0
20181102144410,NetMon_004,NetMon,,,,,,266.0,,266.0,368.0,,
20181102145050,iris-d02_022,iris-d02,,,,,,202.0,,202.0,303.0,,
20181102144830,nv-acc-01_015,nv-acc-01,,,,,,333.0,,333.0,1100.0,,
20181102144330,fsec01_007,fsec01,,,,,,500.0,,500.0,2674.0,,
20181102145430,iris-d03_023,iris-d03,,,,,2.0,437.0,,439.0,1169.0,,
20181102143820,nv-acc-02_016,nv-acc-02,,,,,,315.0,,315.0,538.0,,
20181102144750,KVMHost02_014,KVMHost02,,,,,2.0,555.0,,558.0,1174.0,,1.0
20181102144750,hadoop03_011,hadoop03,,,,,1.0,243.0,,244.0,356.0,,
20181102144750,iris-d01_021,iris-d01,,,,,,330.0,,330.0,983.0,,
20181102144750,KVMHost01_013,KVMHost01,,,,,2.0,873.0,,875.0,1150.0,,
20181102144750,kvm-host3_019,kvm-host3,,,,,1.0,521.0,,522.0,670.0,,
20181102144750,iris-client_020,iris-client,,,,,,821.0,,821.0,3417.0,,
20181102144750,docker_host_02,iris-s01,,,,,,287.0,,287.0,436.0,,
20181102144750,hadoop01_009,hadoop01,,,,,,210.0,,210.0,479.0,,
20181102144750,WIKI_005,WIKI,,,,,,168.0,,168.0,209.0,,
20181102144750,ivytest_018,ivytest,,,,,2.0,555.0,,557.0,2341.0,,
20181102144750,wiki_006,wiki,,,,,,214.0,,214.0,498.0,,
20181102144750,hadoop02_010,hadoop02,,,,,,244.0,,244.0,358.0,,
20181102144800,demo_data_02,gcs3,,,,,,301.0,,301.0,701.0,,
20181102144800,demo_data_07,mhost6,,,,,,415.0,,415.0,1023.0,,
20181102144800,demo_data_01,gcs2,,,,,,311.0,,311.0,808.0,,
20181102144800,demo_data_03,gcs4,,,,,,304.0,,304.0,737.0,,
20181102144800,demo_data_09,iris-m01,,,,,,414.0,,414.0,941.0,,
20181102144800,demo_data_06,gcs7,,,,,,306.0,,306.0,730.0,,
20181102144800,demo_data_08,mhost7,,,,,,420.0,,420.0,1145.0,,
20181102144800,docker_host_03,iris-s02,,,,,,302.0,,302.0,484.0,,
20181102144800,demo_data_04,gcs5,,,,,,317.0,,317.0,816.0,,
20181102144800,demo_data_05,gcs6,,,,,,300.0,,300.0,673.0,,
20181102144820,gaia-master_001,add-m01,,,,,,310.0,,315.0,3592.0,,5.0
20181102144500,fsec02_008,fsec02,,,,,,241.0,,241.0,553.0,,
20181102144830,gaia-slave2_003,gaia-slave2,,,,,,202.0,,209.0,1910.0,,7.0
20181102144020,nv-acc-03_017,nv-acc-03,,,,,,292.0,,292.0,494.0,,
20181102144650,fsec03_012,fsec03,,,,,1.0,232.0,,233.0,515.0,,
20181102144850,gaia-slave1_002,gaia-slave1,,,,,,283.0,,291.0,2059.0,,8.0
20181102144420,NetMon_004,NetMon,,,,,,266.0,,266.0,368.0,,
20181102145100,iris-d02_022,iris-d02,,,,,,202.0,,202.0,303.0,,
20181102144840,nv-acc-01_015,nv-acc-01,,,,,,333.0,,333.0,1099.0,,
20181102144340,fsec01_007,fsec01,,,,,1.0,495.0,,496.0,2669.0,,
20181102145440,iris-d03_023,iris-d03,,,,,,440.0,,440.0,1166.0,,
20181102143830,nv-acc-02_016,nv-acc-02,,,,,,315.0,,315.0,538.0,,
20181102144800,wiki_006,wiki,,,,,,214.0,,214.0,498.0,,
20181102144800,hadoop03_011,hadoop03,,,,,1.0,243.0,,244.0,356.0,,
20181102144800,iris-d01_021,iris-d01,,,,,,330.0,,330.0,983.0,,
20181102144800,kvm-host3_019,kvm-host3,,,,,1.0,521.0,,522.0,669.0,,
20181102144800,KVMHost02_014,KVMHost02,,,,,1.0,556.0,,558.0,1191.0,,1.0
20181102144800,KVMHost01_013,KVMHost01,,,,,1.0,874.0,,875.0,1160.0,,
20181102144800,iris-client_020,iris-client,,,,,,821.0,,821.0,3417.0,,
20181102144800,docker_host_02,iris-s01,,,,,,287.0,,287.0,436.0,,
20181102144800,WIKI_005,WIKI,,,,,,168.0,,168.0,209.0,,
20181102144800,hadoop01_009,hadoop01,,,,,,210.0,,210.0,479.0,,
20181102144800,ivytest_018,ivytest,,,,,1.0,556.0,,557.0,2341.0,,
20181102144800,hadoop02_010,hadoop02,,,,,,244.0,,244.0,358.0,,
20181102144810,demo_data_02,gcs3,,,,,1.0,301.0,,302.0,702.0,,
20181102144810,demo_data_01,gcs2,,,,,,311.0,,311.0,809.0,,
20181102144810,demo_data_09,iris-m01,,,,,,416.0,,416.0,945.0,,
20181102144810,demo_data_07,mhost6,,,,,,417.0,,417.0,1027.0,,
20181102144810,demo_data_06,gcs7,,,,,2.0,307.0,,309.0,903.0,,
20181102144810,demo_data_08,mhost7,,,,,3.0,417.0,,420.0,1145.0,,
20181102144810,docker_host_03,iris-s02,,,,,,302.0,,302.0,484.0,,
20181102144810,demo_data_03,gcs4,,,,,,306.0,,306.0,741.0,,
20181102144810,demo_data_04,gcs5,,,,,,315.0,,315.0,812.0,,
20181102144810,demo_data_05,gcs6,,,,,1.0,303.0,,304.0,681.0,,
20181102144510,fsec02_008,fsec02,,,,,2.0,239.0,,241.0,553.0,,
20181102144830,gaia-master_001,add-m01,,,,,,310.0,,315.0,3593.0,,5.0
20181102144840,gaia-slave2_003,gaia-slave2,,,,,,202.0,,209.0,1910.0,,7.0
20181102144030,nv-acc-03_017,nv-acc-03,,,,,,292.0,,292.0,494.0,,
20181102144700,fsec03_012,fsec03,,,,,,233.0,,233.0,515.0,,
20181102144900,gaia-slave1_002,gaia-slave1,,,,,,283.0,,291.0,2059.0,,8.0
20181102144430,NetMon_004,NetMon,,,,,,266.0,,266.0,368.0,,
20181102145110,iris-d02_022,iris-d02,,,,,,202.0,,202.0,303.0,,
20181102144850,nv-acc-01_015,nv-acc-01,,,,,,333.0,,333.0,1099.0,,
20181102144350,fsec01_007,fsec01,,,,,,500.0,,500.0,2673.0,,
20181102145450,iris-d03_023,iris-d03,,,,,,440.0,,440.0,1164.0,,
20181102143840,nv-acc-02_016,nv-acc-02,,,,,,315.0,,315.0,538.0,,
20181102144810,KVMHost02_014,KVMHost02,,,,,1.0,556.0,,558.0,1192.0,,1.0
20181102144810,hadoop03_011,hadoop03,,,,,,244.0,,244.0,356.0,,
20181102144810,iris-d01_021,iris-d01,,,,,,330.0,,330.0,983.0,,
20181102144810,kvm-host3_019,kvm-host3,,,,,,522.0,,522.0,688.0,,
20181102144810,wiki_006,wiki,,,,,,214.0,,214.0,498.0,,
20181102144810,iris-client_020,iris-client,,,,,,821.0,,821.0,3417.0,,
20181102144810,KVMHost01_013,KVMHost01,,,,,2.0,873.0,,875.0,1162.0,,
20181102144810,WIKI_005,WIKI,,,,,1.0,167.0,,168.0,209.0,,
20181102144810,docker_host_02,iris-s01,,,,,,287.0,,287.0,436.0,,
20181102144810,ivytest_018,ivytest,,,,,2.0,550.0,,552.0,2336.0,,
20181102144810,hadoop01_009,hadoop01,,,,,,210.0,,210.0,479.0,,
20181102144810,hadoop02_010,hadoop02,,,,,,244.0,,244.0,358.0,,
20181102144820,demo_data_02,gcs3,,,,,,302.0,,302.0,702.0,,
20181102144820,demo_data_07,mhost6,,,,,1.0,414.0,,415.0,1023.0,,
20181102144820,demo_data_01,gcs2,,,,,,310.0,,310.0,806.0,,
20181102144820,demo_data_03,gcs4,,,,,,304.0,,304.0,738.0,,
20181102144820,demo_data_06,gcs7,,,,,,307.0,,307.0,731.0,,
20181102144820,demo_data_09,iris-m01,,,,,,417.0,,417.0,946.0,,
20181102144820,demo_data_08,mhost7,,,,,1.0,418.0,,419.0,1143.0,,
20181102144820,docker_host_03,iris-s02,,,,,,302.0,,302.0,484.0,,
20181102144820,demo_data_04,gcs5,,,,,,315.0,,315.0,812.0,,
20181102144820,demo_data_05,gcs6,,,,,,301.0,,301.0,675.0,,
20181102144840,gaia-master_001,add-m01,,,,,,310.0,,315.0,3592.0,,5.0
20181102144520,fsec02_008,fsec02,,,,,,241.0,,241.0,553.0,,
20181102144850,gaia-slave2_003,gaia-slave2,,,,,,202.0,,209.0,1910.0,,7.0
20181102144040,nv-acc-03_017,nv-acc-03,,,,,,292.0,,292.0,494.0,,
20181102144710,fsec03_012,fsec03,,,,,,233.0,,233.0,515.0,,
20181102144910,gaia-slave1_002,gaia-slave1,,,,,,283.0,,291.0,2059.0,,8.0
20181102144440,NetMon_004,NetMon,,,,,,266.0,,266.0,368.0,,
20181102145120,iris-d02_022,iris-d02,,,,,3.0,199.0,,202.0,303.0,,
20181102144900,nv-acc-01_015,nv-acc-01,,,,,,333.0,,333.0,1099.0,,
20181102144400,fsec01_007,fsec01,,,,,,500.0,,500.0,2674.0,,
20181102145500,iris-d03_023,iris-d03,,,,,,440.0,,440.0,1160.0,,
20181102143850,nv-acc-02_016,nv-acc-02,,,,,,315.0,,315.0,538.0,,
20181102144820,KVMHost02_014,KVMHost02,,,,,2.0,555.0,,558.0,1173.0,,1.0
20181102144820,hadoop03_011,hadoop03,,,,,,244.0,,244.0,356.0,,
20181102144820,kvm-host3_019,kvm-host3,,,,,,522.0,,522.0,681.0,,
20181102144820,iris-d01_021,iris-d01,,,,,,330.0,,330.0,983.0,,
20181102144820,wiki_006,wiki,,,,,,214.0,,214.0,498.0,,
20181102144820,KVMHost01_013,KVMHost01,,,,,1.0,874.0,,875.0,1174.0,,
20181102144820,docker_host_02,iris-s01,,,,,,287.0,,287.0,436.0,,
20181102144820,WIKI_005,WIKI,,,,,1.0,167.0,,168.0,209.0,,
20181102144820,hadoop01_009,hadoop01,,,,,1.0,209.0,,210.0,479.0,,
20181102144820,hadoop02_010,hadoop02,,,,,,244.0,,244.0,358.0,,
20181102144820,ivytest_018,ivytest,,,,,1.0,552.0,,553.0,2337.0,,
20181102144820,iris-client_020,iris-client,,,,,,821.0,,821.0,3417.0,,
20181102144830,demo_data_02,gcs3,,,,,,302.0,,302.0,702.0,,
20181102144830,demo_data_07,mhost6,,,,,,415.0,,415.0,1022.0,,
20181102144830,demo_data_01,gcs2,,,,,,310.0,,310.0,806.0,,
20181102144830,demo_data_03,gcs4,,,,,,304.0,,304.0,733.0,,
20181102144830,demo_data_06,gcs7,,,,,,306.0,,306.0,728.0,,
20181102144830,demo_data_08,mhost7,,,,,,419.0,,419.0,1142.0,,
20181102144830,docker_host_03,iris-s02,,,,,,302.0,,302.0,484.0,,
20181102144830,demo_data_04,gcs5,,,,,,315.0,,315.0,812.0,,
20181102144830,demo_data_09,iris-m01,,,,,,417.0,,417.0,946.0,,
20181102144830,demo_data_05,gcs6,,,,,,301.0,,301.0,675.0,,
20181102144850,gaia-master_001,add-m01,,,,,,310.0,,315.0,3592.0,,5.0
20181102144530,fsec02_008,fsec02,,,,,,241.0,,241.0,553.0,,
20181102144900,gaia-slave2_003,gaia-slave2,,,,,,202.0,,209.0,1910.0,,7.0
20181102144050,nv-acc-03_017,nv-acc-03,,,,,,292.0,,292.0,494.0,,
20181102144720,fsec03_012,fsec03,,,,,,233.0,,233.0,515.0,,
20181102144920,gaia-slave1_002,gaia-slave1,,,,,1.0,282.0,,291.0,2059.0,,8.0
20181102144450,NetMon_004,NetMon,,,,,1.0,265.0,,266.0,368.0,,
20181102145130,iris-d02_022,iris-d02,,,,,,202.0,,202.0,303.0,,
20181102144910,nv-acc-01_015,nv-acc-01,,,,,,333.0,,333.0,1101.0,,
20181102144410,fsec01_007,fsec01,,,,,,497.0,,497.0,2670.0,,
20181102145510,iris-d03_023,iris-d03,,,,,,439.0,,439.0,1159.0,,
20181102143900,nv-acc-02_016,nv-acc-02,,,,,,316.0,,316.0,539.0,,
20181102144830,KVMHost02_014,KVMHost02,,,,,3.0,554.0,,558.0,1185.0,,1.0
20181102144830,hadoop03_011,hadoop03,,,,,,244.0,,244.0,356.0,,
20181102144830,KVMHost01_013,KVMHost01,,,,,1.0,874.0,,875.0,1149.0,,
20181102144830,wiki_006,wiki,,,,,,214.0,,214.0,498.0,,
20181102144830,iris-d01_021,iris-d01,,,,,,330.0,,330.0,983.0,,
20181102144830,kvm-host3_019,kvm-host3,,,,,1.0,521.0,,522.0,664.0,,
20181102144830,docker_host_02,iris-s01,,,,,,287.0,,287.0,436.0,,
20181102144830,WIKI_005,WIKI,,,,,1.0,167.0,,168.0,209.0,,
20181102144830,hadoop01_009,hadoop01,,,,,,210.0,,210.0,479.0,,
20181102144830,ivytest_018,ivytest,,,,,1.0,553.0,,554.0,2338.0,,
20181102144830,iris-client_020,iris-client,,,,,,821.0,,821.0,3417.0,,
20181102144830,hadoop02_010,hadoop02,,,,,,244.0,,244.0,358.0,,
20181102144840,demo_data_02,gcs3,,,,,,301.0,,301.0,700.0,,
20181102144840,demo_data_07,mhost6,,,,,,415.0,,415.0,1022.0,,
20181102144840,demo_data_01,gcs2,,,,,,310.0,,310.0,806.0,,
20181102144840,demo_data_09,iris-m01,,,,,,417.0,,417.0,946.0,,
20181102144840,demo_data_03,gcs4,,,,,,305.0,,305.0,735.0,,
20181102144840,demo_data_08,mhost7,,,,,,419.0,,419.0,1142.0,,
20181102144840,demo_data_06,gcs7,,,,,1.0,306.0,,307.0,730.0,,
20181102144840,demo_data_04,gcs5,,,,,,315.0,,315.0,812.0,,
20181102144840,demo_data_05,gcs6,,,,,,301.0,,301.0,675.0,,
20181102144840,docker_host_03,iris-s02,,,,,,302.0,,302.0,484.0,,
20181102144900,gaia-master_001,add-m01,,,,,,310.0,,315.0,3592.0,,5.0
20181102144540,fsec02_008,fsec02,,,,,,241.0,,241.0,553.0,,
20181102144910,gaia-slave2_003,gaia-slave2,,,,,,202.0,,209.0,1910.0,,7.0
20181102144100,nv-acc-03_017,nv-acc-03,,,,,,292.0,,292.0,494.0,,
20181102144730,fsec03_012,fsec03,,,,,1.0,232.0,,233.0,515.0,,
20181102144930,gaia-slave1_002,gaia-slave1,,,,,,283.0,,291.0,2059.0,,8.0
20181102144500,NetMon_004,NetMon,,,,,,266.0,,266.0,368.0,,
20181102145140,iris-d02_022,iris-d02,,,,,,202.0,,202.0,303.0,,
20181102144920,nv-acc-01_015,nv-acc-01,,,,,,333.0,,333.0,1101.0,,
